Timestamp (Elapsed time in seconds),PID,FPS,FPS 1(%) Low,Render Latency(MSec),Average PC Latency(MSec),CPU Utilization(%),GPU1 Utilization(%),GPU1 Temperature(Degrees celsius),GPU1 Frequency(MHz),GPU1 Memory Frequency(MHz),GPU1 Voltage(Milli Volts),GPU1 Fan1 Speed (RPM),GPU1 Fan2 Speed (RPM),GPU2 Utilization(%),GPU2 Temperature(Degrees celsius),GPU2 Frequency(MHz),GPU2 Memory Frequency(MHz),GPU2 Voltage(Milli Volts),GPU2 Fan1 Speed (RPM),GPU2 Fan2 Speed (RPM)
35.198,23316,132.959,86.15,13.375,0,66,86,54,2865,8451,1.07,901,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
35.706,23316,131.723,83.46,13.235,0,65,81,54,2865,8451,1.07,901,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36.217,23316,130.898,81.706,11.491,0,65,79,54,2865,8451,1.07,900,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36.726,23316,129.016,80.478,14.283,0,65,83,54,2865,8451,1.07,900,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37.231,23316,131.128,80.478,14.385,0,64,87,54,2865,8451,1.07,900,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37.744,23316,130.119,86.307,14.298,0,66,75,54,2865,8451,1.07,900,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
38.253,23316,123.219,69.14,18.682,0,64,73,54,2865,8451,1.07,900,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
38.76,23316,122.909,69.14,14.315,0,67,87,54,2865,8451,1.07,900,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
39.269,23316,126.808,80.378,15.298,0,65,83,54,2865,8451,1.07,900,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
39.777,23316,129.442,82.832,13.954,0,66,89,55,2865,8451,1.07,899,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
40.289,23316,133.689,78.113,14.219,0,64,85,54,2865,8451,1.07,899,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
40.802,23316,131.82,78.113,13.31,0,66,82,54,2865,8451,1.07,899,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
41.307,23316,120.828,69.598,16.319,0,77,74,55,2865,8451,1.07,899,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
41.814,23316,116.99,69.509,13.963,0,89,72,55,2865,8451,1.07,899,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
42.319,23316,118.214,71.248,14.688,0,79,82,55,2865,8451,1.07,900,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
42.827,23316,126.923,85.794,13.364,0,68,90,54,2865,8451,1.07,901,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
43.34,23316,133.116,83.328,15.69,0,65,87,55,2865,8451,1.07,903,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
43.848,23316,131.233,83.328,13.09,0,65,82,54,2865,8451,1.07,904,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
44.36,23316,133.694,82.886,13.47,0,66,86,55,2865,8451,1.07,902,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
44.867,23316,132.283,82.818,13.71,0,67,88,55,2865,8451,1.07,902,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
45.378,23316,130.144,70.917,16.021,0,65,79,54,2865,8451,1.07,904,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
45.888,23316,128.321,70.917,18.221,0,65,87,55,2865,8451,1.07,905,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
46.396,23316,134.277,84.462,14.232,0,66,91,55,2865,8451,1.07,905,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
46.909,23316,132.53,83.019,14.388,0,65,79,55,2865,8451,1.07,905,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
47.418,23316,134.568,81.441,13.101,0,67,86,55,2865,8451,1.07,906,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
47.929,23316,133.41,81.441,13.228,0,64,85,54,2865,8451,1.07,906,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
48.444,23316,133.262,79.644,12.904,0,66,87,55,2865,8451,1.07,905,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
48.956,23316,130.144,79.644,14.624,0,63,87,55,2865,8451,1.07,905,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
49.467,23316,130.727,83.367,12.965,0,66,87,55,2865,8451,1.07,905,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
49.977,23316,129.762,81.635,13.28,0,65,87,55,2865,8451,1.07,905,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
50.486,23316,129.506,78.649,11.985,0,65,80,55,2865,8451,1.07,904,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
50.991,23316,129.801,79.882,13.809,0,66,85,55,2865,8451,1.07,905,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51.501,23316,131.942,83.698,12.892,0,68,79,55,2865,8451,1.07,905,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
52.008,23316,129.358,82.911,13.634,0,66,85,54,2865,8451,1.07,906,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
52.516,23316,134.083,88.372,13.874,0,65,86,55,2865,8451,1.07,906,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
53.026,23316,133.225,88.239,14.488,0,65,89,55,2865,8451,1.07,905,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
53.537,23316,134.647,87.156,14.733,0,66,86,55,2865,8451,1.07,906,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
54.045,23316,132.81,87.722,15.667,0,65,88,55,2865,8451,1.07,907,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
54.558,23316,132.559,84.017,13.987,0,68,79,55,2865,8451,1.07,907,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
55.064,23316,128.36,83.728,11.58,0,71,78,54,2865,8451,1.07,909,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
55.573,23316,128.385,83.728,13.961,0,67,83,55,2865,8451,1.07,909,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
56.082,23316,133.596,87.765,14.494,0,64,86,55,2865,8451,1.07,910,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
56.592,23316,136.71,90.042,12.302,0,68,83,55,2865,8451,1.07,909,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
57.103,23316,135.399,81.874,13.298,0,63,86,55,2865,8451,1.07,911,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
57.617,23316,135.817,85.702,14.248,0,67,85,54,2865,8451,1.07,911,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
58.125,23316,130.47,81.393,14.13,0,64,82,55,2865,8451,1.07,911,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
58.632,23316,123.52,74.792,16.113,0,86,79,54,2865,8451,1.07,911,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
59.143,23316,121.087,74.792,13.94,0,72,82,54,2865,8451,1.07,911,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
59.655,23316,130.939,80.661,12.218,0,67,87,55,2865,8451,1.07,910,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
60.161,23316,130.422,83.704,12.861,0,63,84,55,2865,8451,1.07,911,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
60.671,23316,135.848,84.34,13.025,0,66,84,54,2865,8451,1.07,911,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
61.181,23316,136.263,81.153,13.976,0,65,86,56,2865,8451,1.07,911,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
61.687,23316,140.289,83.186,11.473,0,64,87,55,2865,8451,1.07,910,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
62.196,23316,138.043,85.507,13.87,0,64,86,56,2865,8451,1.07,910,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
62.706,23316,134.644,79.406,11.523,0,72,83,55,2865,8451,1.07,911,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
63.217,23316,136.671,84.672,13.371,0,63,86,55,2865,8451,1.07,911,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
63.725,23316,138.444,82.982,11.456,0,65,73,55,2865,8451,1.07,911,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
64.238,23316,135.786,81.943,11.268,0,61,87,55,2865,8451,1.07,910,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
